Property Name,Portfolio Manager ID,Street Address,City/Municipality,State/Province,Postal Code,Country,Property Type - Self-Selected,Gross Floor Area,GFA Units
Etobicoke Civic Centre,34999117,399 THE WEST MALL,Etobicoke,Ontario,M9C 2Y2,Canada,Office,154925,Sq. Ft.
East York Civic Centre,34999114,850 COXWELL AVE,Toronto,Ontario,M4C 5R1,Canada,Office,67544,Sq. Ft.
Eastville Training Centre,34999115,1 EASTVILLE AVE,Scarborough,Ontario,M1M 2N5,Canada,Office,19849,Sq. Ft.
Dyas Road Archive Bldg,34999112,14 DYAS RD,North York,Ontario,M3B 1V5,Canada,Office,28589,Sq. Ft.
East Court & Municipal Services,34999113,1530 MARKHAM RD,Scarborough,Ontario,M1B 3G4,Canada,Office,120104,Sq. Ft.
TPS Station #33,34999158,760 DOVERCOURT RD,Toronto,Ontario,M6H 2X2,Canada,Other - Public Services,3132,Sq. Ft.
TPS Station #34,34999159,674 MARKHAM ST,Toronto,Ontario,M6G 2L9,Canada,Other - Public Services,13939,Sq. Ft.
TPS Station #31,34999156,4219 DUNDAS ST W,Etobicoke,Ontario,M8X 1Y3,Canada,Other - Public Services,2831,Sq. Ft.
TPS Station #32,34999157,9 CLENDENAN AVE,Toronto,Ontario,M6P 2W4,Canada,Other - Public Services,3218,Sq. Ft.
TPS Station #28,34999154,2900 LAWRENCE AVE E,Scarborough,Ontario,M1P 2T7,Canada,Other - Public Services,1905,Sq. Ft.
TPS Station #30/District 3 Office,34999155,100 TURNBERRY AVE,Toronto,Ontario,M6N 1R1,Canada,Other - Public Services,16380,Sq. Ft.
TPS Station #22,34999152,3100 EGLINTON AVE E,Scarborough,Ontario,M1J 2H1,Canada,Other - Public Services,2583,Sq. Ft.
TPS Station #24,34999153,3061 BIRCHMOUNT RD,Scarborough,Ontario,M1W 2S4,Canada,Other - Public Services,2659,Sq. Ft.
TPS Station #44,34999166,887 PHARMACY AVE,Scarborough,Ontario,M1L 3K9,Canada,Other - Public Services,2799,Sq. Ft.
TPS Station #45,34999167,135 DAVENPORT RD,Toronto,Ontario,M5R 1J1,Canada,Other - Public Services,11496,Sq. Ft.
TPS Station #41,34999164,1300 PAPE AVE,Toronto,Ontario,M4K 3X1,Canada,Other - Public Services,4970,Sq. Ft.
TPS Station #42/District 4 Office,34999165,1535 KINGSTON RD,Scarborough,Ontario,M1N 1R5,Canada,Other - Public Services,6997,Sq. Ft.
TPS Station #39,34999162,155 The East Mall,Etobicoke,Ontario,M8Z 5Y5,Canada,Other - Public Services,1927,Sq. Ft.
TPS Station #40,34999163,58 RICHMOND ST E,Toronto,Ontario,M5C 1N7,Canada,Other - Public Services,12798,Sq. Ft.
TPS Station #37,34999160,1288 QUEEN ST W,Toronto,Ontario,M6K 1L4,Canada,Other - Public Services,4413,Sq. Ft.
TPS Station #38,34999161,259 HORNER AVE,Etobicoke,Ontario,M8Z 4Y3,Canada,Other - Public Services,5102,Sq. Ft.
Ambulance Headquarters/TPS Station #53,34999142,4330 DUFFERIN ST,North York,Ontario,M3H 5R9,Canada,Other - Public Services,143494,Sq. Ft.
Community Paramedicine/Post 17,34999143,50 TORYORK DR,North York,Ontario,M9L 1X6,Canada,Other - Public Services,13153,Sq. Ft.
York Civic Center,34999140,2700 EGLINTON AVE W,Toronto,Ontario,M6M 1V1,Canada,Office,72915,Sq. Ft.
York Humber Employment & Social Services,34999141,605 ROGERS RD,Toronto,Ontario,M6M 1B9,Canada,Office,32980,Sq. Ft.
TPS Station #43/Amelie House,34999138,126 PAPE AVE,Toronto,Ontario,M4M 2V8,Canada,Office,9365,Sq. Ft.
Wellesley Place Employment & Social Services,34999139,111 WELLESLEY ST E,Toronto,Ontario,M4Y 3A7,Canada,Office,52108,Sq. Ft.
Toronto Water Centre,34999136,60 TIFFIELD RD,Scarborough,Ontario,M1V 5N2,Canada,Office,64831,Sq. Ft.
Toronto Water Operations Building,34999137,2126 KIPLING AVE,Etobicoke,Ontario,M9W 4K5,Canada,Office,16952,Sq. Ft.
TPS Station #18,34999150,643 EGLINTON AVE W,Toronto,Ontario,M5N 1C5,Canada,Other - Public Services,4930,Sq. Ft.
TPS Station #20/District 2 Office,34999151,2430 LAWRENCE AVE E,Scarborough,Ontario,M1P 2R5,Canada,Other - Public Services,7782,Sq. Ft.
TPS Station #13,34999148,555 MARTIN GROVE RD,Etobicoke,Ontario,M9R 4B7,Canada,Other - Public Services,2756,Sq. Ft.
TPS Station #14,34999149,321 REXDALE BLVD,Etobicoke,Ontario,M9W 1R8,Canada,Other - Public Services,4252,Sq. Ft.
TPS Station #11,34999146,1135 CALEDONIA RD,North York,Ontario,M6A 2W9,Canada,Other - Public Services,3574,Sq. Ft.
TPS Station #12,34999147,1535 ALBION RD,Etobicoke,Ontario,M9V 1B2,Canada,Other - Public Services,1938,Sq. Ft.
TPS Multi-Function Station #1,34999144,1300 WILSON AVE,North York,Ontario,M3M 1H5,Canada,Other - Public Services,29503,Sq. Ft.
TPS Station #10,34999145,2015 Lawrence Ave.W.,Toronto,Ontario,M9N 3V5,Canada,Other - Public Services,5005,Sq. Ft.
Ancaster Community Centre,34999190,41 ANCASTER RD,North York,Ontario,M3K 1S7,Canada,Community Center and Social Meeting Hall,7513,Sq. Ft.
Armour Heights Community Centre,34999191,2140 AVENUE RD,Toronto,Ontario,M5M 4M7,Canada,Community Center and Social Meeting Hall,19773,Sq. Ft.
St Clair Comm Tower,34999188,301 ST CLAIR AVE W,Toronto,Ontario,M5P 1N3,Canada,Other - Public Services,1,Sq. Ft.
Amesbury Community Centre,34999189,1507 LAWRENCE AVE W,North York,Ontario,M6L 1A8,Canada,Community Center and Social Meeting Hall,37975,Sq. Ft.
Roselawn Comm Tower,34999187,410 ROSELAWN AVE,Toronto,Ontario,M5N 1J8,Canada,Other - Public Services,1,Sq. Ft.
Thomas Berry Early Learning & Child Care Centre,34999184,3495 LAKE SHORE BLVD W,Etobicoke,Ontario,M8W 1N5,Canada,Pre-school/Daycare,9117,Sq. Ft.
Willowridge Early Learning & Child Care Centre,34999185,30 EARLDOWN DR,Etobicoke,Ontario,M9R 2L3,Canada,Pre-school/Daycare,4844,Sq. Ft.
Cedarbrook Community Centre,34999198,91 EASTPARK BLVD,Scarborough,Ontario,M1H 1C6,Canada,Community Center and Social Meeting Hall,14951,Sq. Ft.
Church Isabella Resident Coop,34999199,56 WELLESLEY ST E,Toronto,Ontario,M4Y 1G2,Canada,Community Center and Social Meeting Hall,19106,Sq. Ft.
Burrows Hall Community Centre,34999196,1081 PROGRESS AVE,Scarborough,Ontario,M1B 5Z6,Canada,Community Center and Social Meeting Hall,43185,Sq. Ft.
Carmine Stefano Community Centre,34999197,3100 WESTON RD,North York,Ontario,M9M 2Z9,Canada,Community Center and Social Meeting Hall,57867,Sq. Ft.
Berner Trail Community Centre,34999194,120 BERNER TRL,Scarborough,Ontario,M1B 1B3,Canada,Community Center and Social Meeting Hall,10204,Sq. Ft.
